Front,Back,Tags
What [H+] corresponds to pH 3?,"1×10^-3 M.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What pH corresponds to [H+]=10^-5 M?,"5.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
"What Reynolds number results for rho=1.2 kg/m³, d=.10 m, v=15 m/s, eta=1.8e-5 Pa·s?","≈100,000.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
"What is the arithmetic mean of 4, 6, 8, and 12?","7.5.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
"What is the sample SD of 2, 4, and 6?","2.0.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What is CV when SD=3 and mean=30?,"0.10, or 10%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
"What is the geometric mean of 1, 10, and 100?","10.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What is the geometric mean of 2 and 8?,"4.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
"If P84.13=20 and GM=10, what is GSD?","2.0.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
"If GM=10 and GSD=2, what is P84.13?","20.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
"If GM=10 and GSD=2, what is P15.87?","5.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
"If mean=100 and SD=10, what range contains approximately 95% under the ±2SD rule?","80 to 120.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
"If CVtotal=.10, what SAE follows SAE=1.645CVtotal?","0.1645.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What 8-h TWA results from 2 h at 5 mg/m³ and 6 h at 1 mg/m³?,"2.0 mg/m³.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What 8-h TWA results from 4 h at 50 ppm and 4 h at 0 ppm?,"25 ppm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
"What 8-h TWA results from 1 h at 80, 2 h at 20, and 5 h at 0 mg/m³?","15 mg/m³.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What concentration results from 2.4 mg collected over 240 L?,"10 mg/m³.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What volume is collected at 2.0 L/min for 120 min?,"240 L.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What volume is collected at 1.5 L/min for 8 h?,"720 L, or 0.720 m³.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
How much contaminant is collected when 30 mL solution contains 15 mg/mL?,"450 mg.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What dilution factor results when 10 mL is diluted to 250 mL?,"25×.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What original concentration corresponds to 4 mg/L after a 25× dilution?,"100 mg/L.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
"What vapor/hazard ratio results from 2,000 ppm saturation concentration and 100 ppm guideline?","20.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What additive mixture hazard index results from C1=2/TLV1=10 and C2=5/TLV2=20?,"0.45.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What additive mixture hazard index results from 6/10 plus 8/20?,"1.0.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What mixture TLV results from equal fractions of two substances with equal TLVs of 10 mg/m³?,"10 mg/m³.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
"What pooled SD results from SD1=4, SD2=6, n1=n2=10?","≈5.10.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"What t statistic results from means 30 and 24, pooled SD 5, n1=n2=25?","≈8.49.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"What t statistic results from means 100 and 90, pooled SD 10, n1=16, n2=25?","≈2.60.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"What GM results from exposure results 1, 4, 16, and 64?","8.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"If log10 mean=1.5, what is GM?","≈31.62.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"If GM=20 and GSD=2.5, what is P84.13?","50.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"If GM=20 and GSD=2.5, what is P15.87?","8.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"If P84.13=60 and P15.87=15, what is GSD?","2.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"If P84.13=80 and P50=20, what is GSD?","4.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"If mean=25 and SD=5, what is CV percentage?","20%.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"If CVtotal=.08, what SAE follows SAE=1.645CVtotal?","0.1316.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"If standardized concentration X/limit=1.05, what is X when the limit is 100 ppm?","105 ppm.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"If X/limit=1.20 and SAE=.10, what simplified LCL results?","1.10.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"If X/limit=.90 and SAE=.10, what simplified LCL results?","0.80.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"If LCL>1 under the book's OSHA method, what conclusion is indicated?","Overexposure/violation is supported.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"If UCL<1 under the book's OSHA method, what conclusion is indicated?","Overexposure/violation is not supported.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"If LCL<1 and UCL>1, how is the result classified?","Possible overexposure.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
What combined error results from independent errors .10 and .20?,"0.2236.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"What combined error results from independent errors .10, .15, and .20?","≈0.2693.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
"If GSD=1.0, what does it imply?","No environmental variability.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Statistics_Evaluation
What indoor/no-solar WBGT results from Tnwb=25°C and Tg=35°C?,"28.0°C.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
"What outdoor/solar WBGT results from Tnwb=25°C, Tg=35°C, Tdb=30°C?","27.5°C.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
What indoor WBGT results from Tnwb=22°C and Tg=30°C?,"24.4°C.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
"What outdoor WBGT results from Tnwb=24°C, Tg=32°C, Tdb=34°C?","26.8°C.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
What 1-h TWA WBGT results from 30 min at 30°C and 30 min at 20°C?,"25°C.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
What 1-h TWA WBGT results from 20 min at 32°C and 40 min at 22°C?,"25.33°C.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
What adjusted WBGT results from measured 28°C and clothing adjustment +5°C?,"33°C.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
What adjusted WBGT results from measured 27°C and clothing adjustment +8°C?,"35°C.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
What TWA metabolic rate results from 400 W/m² for 15 min and 200 W/m² for 45 min?,"250 W/m².

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
What TWA metabolic rate results from 350 W/m² for 20 min and 150 W/m² for 40 min?,"216.67 W/m².

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
What TWA-WBGT results from 32°C for 20 min and 22°C for 40 min?,"25.33°C.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
"What net heat-storage rate results from M=500, W=0, C=−50, R=100, E=400 W/m²?","150 W/m².

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
"If evaporative cooling rises by 100 W/m², how does heat storage change?","It decreases by 100 W/m².

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
"If metabolic heat rises by 50 W/m², how does heat storage change?","It increases by 50 W/m².

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
"If radiation adds 75 W/m² net heat gain, how does storage change?","It increases by 75 W/m².

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
"If convection removes 100 W/m², how does storage change?","It decreases by 100 W/m².

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
What adjusted WBGT results from measured 30°C and clothing adjustment −1°C?,"29°C.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
What 1-h TWA WBGT results from 34°C for 10 min and 24°C for 50 min?,"25.67°C.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
What TWA metabolic rate results from 450 W/m² for 10 min and 150 W/m² for 50 min?,"200 W/m².

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
"If adjusted WBGT is 33°C and criterion is 30°C, by what percentage is it above criterion?","10%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; current ACGIH Heat Stress and Strain guidance; book topic: 5th ed., pp.327–356.",CIH_Hardcore_V2 Thermal_Stress
What intensity remains at 2 m if it is 100 units at 1 m?,"25 units.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What intensity occurs at 2 m if it is 200 units at 4 m?,"800 units.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
How far from a point source gives 1/16 the intensity at 1 m?,"4 m.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
"If intensity falls from 900 to 100 units, by what factor did distance increase?","3×.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What activity remains after two half-lives from 800 Bq?,"200 Bq.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
"What activity remains after five half-lives from 3,200 Bq?","100 Bq.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What fraction remains after three half-lives?,"12.5%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
How many half-lives reduce activity to 6.25%?,"4 half-lives.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What fraction remains after 24 years if half-life is 8 years?,"12.5%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
"What activity remains after 35 days from 1,000 kBq if half-life is 10 days?","≈88.39 kBq.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What decay constant corresponds to a 10-year half-life?,"0.0693 yr⁻¹.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What decay constant corresponds to a 30-day half-life?,"0.0231 day⁻¹.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What activity remains after 10 days if A0=500 Bq and lambda=.1 day⁻¹?,"≈183.94 Bq.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What dose results from 2 mSv/h for 3 h?,"6 mSv.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What average dose rate delivers 10 mSv in 4 h?,"2.5 mSv/h.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What is 1 Gy in rad?,"100 rad.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What is 1 Sv in rem?,"100 rem.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What disintegrations/s correspond to 2.5 Ci?,"9.25×10¹⁰ disintegrations/s.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What dpm correspond to 3 Ci?,"6.6×10¹² dpm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What activity remains after one half-life from 750 Bq?,"375 Bq.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What dose rate is expected at 10 m if it is 400 µSv/h at 2 m?,"16 µSv/h.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What dose rate is expected at 2 m if it is 16 µSv/h at 10 m?,"400 µSv/h.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What dose is received from 30 min at 100 µSv/h plus 90 min at 20 µSv/h?,"80 µSv.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What average dose rate corresponds to 2 mSv in 30 min?,"4 mSv/h.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
"If intensity is reduced 100× by distance alone, by what factor must distance increase?","10×.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.3; book topic: 5th ed., pp.257–326.",CIH_Hardcore_V2 Radiation
What volume is collected at 2.5 L/min for 90 min?,"225 L.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What concentration results from 5 mg in 500 L of air?,"10 mg/m³.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What mass is collected at 4 mg/m³ over .750 m³?,"3 mg.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What volume is collected at 1.8 L/min for 240 min?,"432 L.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What concentration results from .12 mg collected over 24 L?,"5 mg/m³.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What midpoint average flow follows from initial 2.0 and final 2.2 L/min?,"2.1 L/min.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What volume is collected at 2.1 L/min for 240 min?,"504 L.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What total mass is 1.5 mg front plus .10 mg backup?,"1.60 mg.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What backup percentage is .20 mg of a 2.00-mg total?,"10%.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What corrected mass corresponds to 9 mg measured at 90% recovery?,"10 mg.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What blank-corrected mass results from 2.0 mg sample and .20 mg blank?,"1.80 mg.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What concentration results from 1.8 mg over .600 m³?,"3.0 mg/m³.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What MUC results from APF=10 and limit=5 ppm?,"50 ppm.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What in-facepiece concentration is estimated for 200 ppm ambient and APF=10?,"20 ppm.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
"If required PF is 25 and available APF is 10, is the simple APF comparison sufficient?","No; 10 is below 25.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What minimum PF is required for 150 ppm exposure and desired 5 ppm inside-mask concentration?,"30.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What PF is required for 40 ppm exposure and 2 ppm limit?,"20.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What percentage of intended volume is obtained if 432 L is collected instead of 480 L?,"90%.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What simplified LCL results from ratio .90 and SAE .15?,"0.75.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
What simplified LCL results from ratio 1.20 and SAE .15?,"1.05.

Reference: Modern equation sheet: BGC 2026 p.2; book topic: 5th ed., pp.487–521, 523–584, 667–725.",CIH_Hardcore_V2 Sampling_Analytical_Respirators
"What is the 8-h TWA for 75 ppm for 2 h, 25 ppm for 4 h, and 0 ppm for 2 h?","31.25 ppm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 Integrated_Problem_Solving
What OSHA dose results from 2 h at 90 dBA and 1 h at 100 dBA?,"75%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 Integrated_Problem_Solving
"What ACH results in a 20×30×10-ft room with 3,000 cfm effective airflow?","30 ACH.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 Integrated_Problem_Solving
"What airflow is required for 30 ACH in a 6,000-ft³ room?","3,000 cfm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 Integrated_Problem_Solving
"What total concentration is predicted from a 600-ppm·cfm source contribution, 3,000 cfm effective airflow, and 10 ppm supply concentration?","10.2 ppm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 Integrated_Problem_Solving
What is the TWA and exposure/limit ratio for 2 h at 10 mg/m³ and 6 h at 4 mg/m³ with a 5-mg/m³ limit?,"TWA=5.5 mg/m³; ratio=1.10.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 Integrated_Problem_Solving
What level is predicted at 4 m from a source producing 90 dB at 1 m?,"≈77.96 dB.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 Integrated_Problem_Solving
"What activity remains from 2,400 Bq after 18 h with a 6-h half-life?","300 Bq.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 Integrated_Problem_Solving
"At 25°C, what ppm corresponds to 50 mg/m³ of MW=100?","12.225 ppm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 Integrated_Problem_Solving
